Location,Count,Size,Link
Abyei,171,12.3KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Abyei.zip
Afghanistan,"6,588,191",511.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Afghanistan.zip
Africa,"4,631",383.3KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Africa.zip
Albania,"1,180,677",87.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Albania.zip
Algeria,"6,854,110",576.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Algeria.zip
Andorra,"8,605",837.0KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Andorra.zip
Angola,"4,845,154",331.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Angola.zip
Anguilla,"9,273",733.5KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Anguilla.zip
Antigua and Barbuda,"45,997",3.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Antigua and Barbuda.zip
Argentina,"6,751,335",543.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Argentina.zip
Armenia,"938,929",73.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Armenia.zip
Aruba,"65,361",4.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Aruba.zip
Asia,"38,521",2.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Asia.zip
Austria,"3,804,289",334.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Austria.zip
Azerbaijan,"2,096,023",152.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Azerbaijan.zip
Bahrain,"197,877",18.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bahrain.zip
Bangladesh,"15,186,144",1.0GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bangladesh.zip
Barbados,"147,195",10.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Barbados.zip
Belarus,"6,680,004",500.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Belarus.zip
Belgium,"4,445,133",392.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Belgium.zip
Belize,"143,087",9.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Belize.zip
Benin,"1,785,978",123.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Benin.zip
Bhutan,"122,682",8.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bhutan.zip
Bolivia,"3,017,298",215.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bolivia.zip
Bonaire,"14,315",1.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bonaire.zip
Bosnia and Herzegovina,"2,391,531",169.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bosnia and Herzegovina.zip
Botswana,"1,180,475",80.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Botswana.zip
Brazil,"59,513,459",4.4GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Brazil.zip
British Indian Ocean Territory,928,72.3KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/British Indian Ocean Territory.zip
British Virgin Islands,"10,298",774.9KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/British Virgin Islands.zip
Bulgaria,"4,033,011",303.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Bulgaria.zip
Burkina Faso,"2,076,120",142.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Burkina Faso.zip
Burundi,"1,932,454",132.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Burundi.zip
Cambodia,"3,874,208",264.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Cambodia.zip
Cameroon,"2,221,618",155.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Cameroon.zip
Cayman Islands,"22,655",1.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Cayman Islands.zip
Central African Republic,"379,478",25.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Central African Republic.zip
Chad,"1,136,146",78.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Chad.zip
Chile,"6,210,325",474.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Chile.zip
Colombia,"7,169,856",551.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Colombia.zip
Comoros,"119,701",8.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Comoros.zip
Congo (DRC),"7,713,400",516.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Congo %28DRC%29.zip
Costa Rica,"1,461,644",111.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Costa Rica.zip
Croatia,"2,834,874",216.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Croatia.zip
Cuba,"2,860,000",199.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Cuba.zip
Curacao,"103,745",7.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Curacao.zip
Cyprus,"743,709",59.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Cyprus.zip
Czech Republic,"2,367,402",199.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Czech Republic.zip
Czechia,"2,585,333",208.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Czechia.zip
Denmark,"3,264,995",299.4MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Denmark.zip
Djibouti,"22,718",1.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Djibouti.zip
Dominica,"31,942",2.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Dominica.zip
Dominican Republic,"2,228,536",155.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Dominican Republic.zip
Ecuador,"4,329,641",321.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ecuador.zip
Egypt,"11,864,145",1.0GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Egypt.zip
El Salvador,"1,111,558",83.0MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/El Salvador.zip
Equatorial Guinea,"178,597",12.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Equatorial Guinea.zip
Eritrea,"262,569",18.3MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Eritrea.zip
Estonia,"737,110",58.1MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Estonia.zip
Ethiopia,"4,126,913",285.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Ethiopia.zip
Europe,"12,216",1004.8KB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Europe.zip
FYRO Makedonija,"774,962",57.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/FYRO Makedonija.zip
Faroe Islands,"30,004",2.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Faroe Islands.zip
Finland,"4,598,752",387.6MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Finland.zip
France,"23,396,212",2.1GB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/France.zip
French Guiana,"69,716",5.2MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/French Guiana.zip
French-Guadeloupe,"216,903",15.8MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/French-Guadeloupe.zip
French-Martinique,"176,510",12.9MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/French-Martinique.zip
Gabon,"359,032",26.5MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Gabon.zip
Gaza Strip,"268,186",20.7MB,https://minedbuildings.blob.core.windows.net/global-buildings/2022-07-11/Gaza Strip.zip
